"","Comparison","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","effect"
"77","C2.N61311 - N080611","R-HSA-168255","Influenza Infection","155","0.6756402","1.781190","9.708653e-05","5.705700e-03","5.705700e-03","2041","tags=41%, list=10%, signal=38%","1.781190"
"78","C2.N61311 - N080611","R-HSA-168273","Influenza Viral RNA Transcription and Replication","135","0.7170077","1.865570","2.884061e-05","1.916020e-03","1.916020e-03","2041","tags=46%, list=10%, signal=42%","1.865570"
"79","C2.N61311 - N080611","R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","112","0.7368888","1.842634","2.665917e-05","1.851601e-03","1.851601e-03","1791","tags=50%, list=9%, signal=46%","1.842634"
"80","C2.N61311 - N080611","R-HSA-192823","Viral mRNA Translation","89","0.8163386","2.003591","4.785131e-07","1.462336e-04","1.462336e-04","2622","tags=72%, list=12%, signal=63%","2.003591"
"81","C2.N61311 - N080611","R-HSA-2408522","Selenoamino acid metabolism","118","0.7370564","1.867063","1.347963e-05","1.142330e-03","1.142330e-03","1791","tags=51%, list=9%, signal=47%","1.867063"
"82","C2.N61311 - N080611","R-HSA-2408557","Selenocysteine synthesis","93","0.8047186","1.987800","9.025126e-07","1.689742e-04","1.689742e-04","2622","tags=69%, list=12%, signal=61%","1.987800"
"83","C2.N61311 - N080611","R-HSA-6783783","Interleukin-10 signaling","36","-0.8229238","-1.845801","2.364241e-04","1.245710e-02","1.245710e-02","768","tags=17%, list=4%, signal=16%","-1.845801"
"84","C2.N61311 - N080611","R-HSA-72613","Eukaryotic Translation Initiation","119","0.7600278","1.929835","1.216437e-06","1.689742e-04","1.689742e-04","2259","tags=53%, list=11%, signal=48%","1.929835"
"85","C2.N61311 - N080611","R-HSA-72649","Translation initiation complex formation","59","0.7823002","1.790237","3.533804e-04","1.659795e-02","1.659795e-02","1645","tags=49%, list=8%, signal=45%","1.790237"
"86","C2.N61311 - N080611","R-HSA-72662","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","60","0.7811590","1.792227","3.584636e-04","1.659795e-02","1.659795e-02","1645","tags=48%, list=8%, signal=45%","1.792227"
"87","C2.N61311 - N080611","R-HSA-72689","Formation of a pool of free 40S subunits","101","0.8004150","1.995662","4.224990e-07","1.462336e-04","1.462336e-04","2622","tags=66%, list=12%, signal=58%","1.995662"
"88","C2.N61311 - N080611","R-HSA-72695","Formation of the ternary complex, and subsequently, the 43S complex","52","0.8108650","1.838700","1.680608e-04","9.510997e-03","9.510997e-03","1645","tags=56%, list=8%, signal=52%","1.838700"
